date, pm25, pm10, o3, so2, co
2020/3/2, 41, 18, 9, 4, 
2020/3/3, 50, 17, 8, 3, 
2020/3/4, 45, 16, 8, 3, 
2020/3/5, 45, 12, 8, 6, 
2020/3/6, 33, 11, 8, 3, 
2020/3/7, 33, 14, 8, 5, 
2020/3/8, 41, 19, 10, 4, 
2020/3/9, 52, 29, 9, , 
2020/3/10, 74, 15, 9, , 
2020/3/11, 44, 7, 6, , 
2020/3/12, 22, 16, 14, 2, 
2020/3/13, 45, 13, 10, 1, 
2020/3/14, 29, 11, 6, , 
2020/3/15, 30, 13, 8, , 
2020/3/16, 36, 9, 8, , 
2020/3/17, 31, 8, 6, , 
2020/3/18, 21, 4, 9, , 
2020/3/19, 13, 11, 9, , 
2020/3/20, 29, 19, 9, , 
2020/3/21, 44, 13, 9, 2, 
2020/3/22, 25, 6, 9, 2, 
2020/3/23, 15, 5, 10, 2, 
2020/3/24, 14, 10, 9, 2, 
2020/3/25, 26, 9, 10, , 
2020/3/26, 23, 11, 9, , 
2020/3/27, 33, , , , 
2020/2/2, 29, 8, 10, 3, 
2020/2/3, 24, 11, 8, 4, 
2020/2/4, 32, 13, 8, 3, 
2020/2/5, 38, 14, 7, 1, 
2020/2/6, 41, 11, 6, , 
2020/2/7, 31, 15, 5, , 
2020/2/8, 38, 8, 7, , 
2020/2/9, 19, 7, 8, , 
2020/2/10, 19, 13, 5, 2, 
2020/2/11, 41, 23, 6, 12, 
2020/2/12, 55, 12, 7, 11, 
2020/2/13, 31, 13, 6, 14, 
2020/2/14, 35, 13, 12, 12, 
2020/2/15, 37, , , , 
2020/2/18, 19, 9, 13, 13, 
2020/2/19, 24, 17, 13, 14, 
2020/2/20, 45, 18, 10, 11, 
2020/2/21, 47, 18, 9, 10, 
2020/2/22, 50, , , , 
2020/2/25, 32, 22, 10, 13, 
2020/2/26, 58, 15, 10, 15, 
2020/2/27, 46, 12, 8, 17, 
2020/2/28, 36, 19, 11, 1, 
2020/2/29, 53, 13, 9, 1, 
2020/3/1, 40, 14, 13, 2, 
2020/1/2, 18, 7, 5, , 
2020/1/3, 23, 9, 6, , 
2020/1/4, 27, 8, 7, 1, 
2020/1/5, 23, 7, 9, , 
2020/1/6, 21, 14, 12, , 
2020/1/7, 35, 18, 9, 7, 
2020/1/8, 47, 16, 11, 8, 
2020/1/9, 45, 19, 18, 1, 
2020/1/10, 50, 20, 15, 1, 
2020/1/11, 55, 19, 10, 1, 
2020/1/12, 54, 19, 9, , 
2020/1/13, 52, 12, 11, , 
2020/1/14, 33, 14, 6, 1, 
2020/1/15, 36, 12, 8, , 
2020/1/16, 35, 19, 9, 5, 
2020/1/17, 54, 23, 8, 3, 
2020/1/18, 61, 12, 10, 6, 
2020/1/19, 37, 8, 10, 1, 
2020/1/20, 26, 13, 7, 2, 
2020/1/21, 40, 22, 14, 6, 
2020/1/22, 57, 14, 14, 11, 
2020/1/23, 40, 10, 13, 7, 
2020/1/24, 28, 13, 5, 3, 
2020/1/25, 35, , , , 
2020/1/28, 65, 16, 7, 3, 
2020/1/29, 44, 18, 12, , 
2020/1/30, 49, 12, 10, , 
2020/1/31, 37, 12, 11, 5, 
2020/2/1, 34, 10, 12, 2, 
2019/10/2, 35, 10, 7, 4, 
2019/10/3, 32, 10, 9, 3, 
2019/10/4, 33, 9, 6, , 
2019/10/5, 27, 7, 7, 7, 
2019/10/6, 19, 10, 5, 11, 
2019/10/7, 27, 15, 7, 4, 
2019/10/8, 40, 32, 6, 1, 
2019/10/9, 79, 21, 7, 11, 
2019/10/10, 54, 10, 7, 4, 
2019/10/11, 26, 8, 9, 2, 
2019/10/12, 23, 4, 11, , 
2019/10/13, 13, 9, 10, , 
2019/10/14, 23, 13, 11, , 
2019/10/15, 39, 12, 9, 1, 
2019/10/16, 37, 7, 11, 1, 
2019/10/17, 20, 6, 10, 1, 
2019/10/18, 15, 12, 12, 1, 
2019/10/19, 29, 20, 12, 1, 
2019/10/20, 51, 6, 11, , 
2019/10/21, 18, 9, 9, 1, 
2019/10/22, 26, 12, 9, 1, 
2019/10/23, 33, 17, 10, , 
2019/10/24, 50, 17, 14, 2, 
2019/10/25, 48, 22, 16, 2, 
2019/10/26, 58, 14, 12, 8, 
2019/10/27, 37, 12, 12, 3, 
2019/10/28, 31, 11, 6, , 
2019/10/29, 29, 6, 11, , 
2019/10/30, 19, 11, 12, 1, 
2019/10/31, 32, 10, 12, 1, 
2019/11/1, 31, 12, 8, , 
2019/11/2, 36, 17, 14, 12, 
2019/11/3, 45, 10, 11, 1, 
2019/11/4, 29, 8, 8, , 
2019/11/5, 22, 14, 13, , 
2019/11/6, 37, , , , 
2019/11/9, 66, 14, 11, 10, 
2019/11/10, 42, 9, 11, 10, 
2019/11/11, 30, 13, 8, 10, 
2019/11/12, 37, 11, 7, 12, 
2019/11/13, 32, 24, 19, 12, 
2019/11/14, 61, 28, 15, 12, 
2019/11/15, 68, 11, 8, 12, 
2019/11/16, 34, 13, 9, 13, 
2019/11/17, 34, 16, 10, 15, 
2019/11/18, 41, 24, 15, 13, 
2019/11/19, 53, 16, 11, 13, 
2019/11/20, 41, 13, 11, 14, 
2019/11/21, 35, 23, 10, 14, 
2019/11/22, 60, 14, 13, 13, 
2019/11/23, 37, 14, 11, 10, 
2019/11/24, 40, 9, 8, 11, 
2019/11/25, 20, 8, 7, 11, 
2019/11/26, 19, 13, 13, 9, 
2019/11/27, 36, 17, 14, , 
2019/11/28, 43, 24, 14, 5, 
2019/11/29, 55, 19, 16, 3, 
2019/11/30, 44, 35, 12, 1, 
2019/12/1, 75, 17, 14, 2, 
2019/12/2, 43, 15, 9, 6, 
2019/12/3, 42, 17, 10, 8, 
2019/12/4, 39, 22, 14, 2, 
2019/12/5, 51, 11, 13, , 
2019/12/6, 30, 23, 18, 6, 
2019/12/7, 57, 15, 15, 4, 
2019/12/8, 41, 19, 17, 5, 
2019/12/9, 43, 24, 20, 4, 
2019/12/10, 55, 30, 17, 7, 
2019/12/11, 69, 33, 18, 3, 
2019/12/12, 78, 30, 14, , 
2019/12/13, 65, 17, 9, 4, 
2019/12/14, 47, 16, 12, 3, 
2019/12/15, 43, 9, 14, 3, 
2019/12/16, 27, 18, 12, 3, 
2019/12/17, 49, 24, 12, 3, 
2019/12/18, 61, 12, 12, 4, 
2019/12/19, 31, 15, 13, 5, 
2019/12/20, 40, 11, 10, , 
2019/12/21, 31, 12, 15, , 
2019/12/22, 33, 14, 16, , 
2019/12/23, 42, 17, 12, 3, 
2019/12/24, 45, 13, 11, 4, 
2019/12/25, 32, 16, 17, 2, 
2019/12/26, 39, 7, 10, , 
2019/12/27, 20, 10, 8, 4, 
2019/12/28, 32, 9, 9, 2, 
2019/12/29, 28, 13, 10, , 
2019/12/30, 33, , , , 
2019/7/2, 40, 14, 12, 6, 
2019/7/3, 41, 13, 11, , 
2019/7/4, 39, 13, 14, , 
2019/7/5, 40, 14, 16, , 
2019/7/6, 41, 23, 16, , 
2019/7/7, 64, 12, 13, 2, 
2019/7/8, 34, 9, 10, 6, 
2019/7/9, 26, 9, 13, 1, 
2019/7/10, 25, 23, 8, , 
2019/7/11, 60, 28, 8, , 
2019/7/12, 73, 15, 8, , 
2019/7/13, 43, 17, 7, , 
2019/7/14, 50, 20, 10, , 
2019/7/15, 54, 22, 7, 1, 
2019/7/16, 61, 38, 14, 5, 
2019/7/17, 87, 7, 10, 3, 
2019/7/18, 20, 15, 5, 6, 
2019/7/19, 42, 22, 7, , 
2019/7/20, 55, 15, 8, 2, 
2019/7/21, 40, 21, 15, 7, 
2019/7/22, 48, 11, 14, , 
2019/7/23, 33, 14, 16, , 
2019/7/24, 46, 16, 17, , 
2019/7/25, 46, 12, 17, , 
2019/7/26, 37, 3, 11, , 
2019/7/27, 15, 17, 7, , 
2019/7/28, 49, 5, 9, , 
2019/7/29, 14, 13, 11, , 
2019/7/30, 38, 22, 12, 1, 
2019/7/31, 62, 21, 10, 42, 
2019/8/1, 57, 26, 8, 32, 
2019/8/2, 67, 20, 16, 29, 
2019/8/3, 55, 15, 13, 29, 
2019/8/4, 47, 9, 15, 37, 
2019/8/5, 25, 7, 15, 28, 
2019/8/6, 22, 19, 10, 11, 
2019/8/7, 50, 28, 14, 1, 
2019/8/8, 73, 17, 16, , 
2019/8/9, 52, 6, 16, , 
2019/8/10, 21, 16, 15, 19, 
2019/8/11, 49, 8, 14, 9, 
2019/8/12, 25, 16, 14, 7, 
2019/8/13, 45, 11, 17, , 
2019/8/14, 34, 33, 15, 18, 
2019/8/15, 83, 16, 17, 17, 
2019/8/16, 43, , , , 
2019/8/27, 59, 19, 18, 2, 
2019/8/28, 56, 12, 17, 6, 
2019/8/29, 33, 18, 10, 3, 
2019/8/30, 51, 21, 17, , 
2019/8/31, 58, 32, 17, , 
2019/9/1, 77, 21, 16, , 
2019/9/2, 57, 30, 15, , 
